id,name,x,y,z
617,mL3_L-15,1679,1803,-268.0
618,mL3_L-16,2467,1830,-268.0
619,mL3_L-17,2788,1895,-268.0
620,mL3_L-18,2692,2003,-268.0
621,mL3_L-19,2756,2006,-268.0
622,mL3_L-2,2089,2119,-268.0
623,mL3_L-20,2876,2019,-268.0
624,mL3_L-21,1347,1983,-268.0
625,mL3_L-22,1430,1964,-268.0
626,mL3_L-23,1422,1929,-268.0
627,mL3_L-24,1278,1618,-268.0
628,mL3_L-25,1216,1613,-268.0
629,mL3_L-26,2780,1081,-268.0
630,mL3_L-27,2791,1030,-268.0
631,mL3_L-28,1411,1039,-268.0
632,mL3_L-29,1449,1066,-268.0
633,mL3_L-3,2227,1889,-268.0
634,mL3_L-30,1297,1297,-268.0
635,mL3_L-31,1276,1213,-268.0
636,mL3_L-32,1490,1920,-268.0
637,mL3_L-33,2725,1965,-268.0
638,mL3_L-34,2184,1936,-268.0
639,mL3_L-35,2023,1935,-268.0
640,mL3_L-36,1955,1823,-268.0
641,mL3_L-37,2290,1852,-268.0
642,mL3_L-38,1586,965,-268.0
643,mL3_L-39,1492,996,-268.0
644,mL3_L-4,1991,1883,-268.0
645,mL3_L-40,2698,958,-268.0
646,mL3_L-41,2638,877,-268.0
647,mL3_L-42,2596,941,-268.0
648,mL3_L-43,1552,904,-268.0
649,mL3_L-44,1618,2177,-268.0
650,mL3_L-45,2592,2193,-268.0
651,mL3_L-5,1970,1787,-268.0
652,mL3_L-6,2247,1803,-268.0
653,mL3_L-7,2263,1593,-268.0
654,mL3_L-8,1989,1566,-268.0
